date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:44	94501/94501	---MCZ	200	added ('OK')	text/html	etag:W/%2262d67702-17125%22	https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html	(from )
15:29:45	125/125	---MCZ	200	added ('OK')	text/plain	date:Sun,%2016%20Oct%202022%2007:29:40%20GMT	https://codescandy.com/robots.txt		(from )
15:29:46	12429/12429	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-308d%22	https://codescandy.com/geeks-bootstrap-5/assets/fonts/feather/feather.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/fonts/feather/feather.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:46	80533/80533	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-13a95%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-icons/font/bootstrap-icons.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-icons/font/bootstrap-icons.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:46	286/286	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-11e%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/dragula/dist/dragula.min.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/dragula/dist/dragula.min.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:47	309937/309937	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-4bab1%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/@mdi/font/css/materialdesignicons.min.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:47	11789/11789	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-2e0d%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/dropzone/dist/dropzone.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/dropzone/dist/dropzone.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:47	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-1b27%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/magnific-popup/dist/magnific-popup.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/magnific-popup/dist/magnific-popup.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:47	11832/11832	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-2e38%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-select/dist/css/bootstrap-select.min.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:48	11030/11030	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-2b16%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/@yaireo/tagify/dist/tagify.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/@yaireo/tagify/dist/tagify.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:48	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-882%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/tiny-slider/dist/tiny-slider.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/tiny-slider/dist/tiny-slider.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
15:29:48	1409/1409	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-581%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/tippy.js/dist/tippy.css	D:/My%20Web%20Sites/display-template/codescandy.com/geeks-bootstrap-5/assets/libs/tippy.js/dist/tippy.css	(from https://codescandy.com/geeks-bootstrap-5/pages/dashboard/admin-dashboard.html)
